"r","c","grain","straw"
13,23,4.02,6.35
14,23,4.39,6.11
15,23,3.69,5.18
16,23,3.8,5.7
17,23,4.21,5.48
18,23,3.69,5.43
19,23,4.33,6.04
20,23,3.59,4.66
1,24,4.23,6.08
2,24,4.09,5.91
3,24,3.97,6.28
4,24,3.46,5.41
5,24,3.96,5.6
6,24,3.75,5.5
7,24,2.78,4.28
8,24,3.47,5.59
9,24,3.44,4.81
10,24,2.84,4.1
11,24,3.47,5.84
12,24,3.56,6.38
13,24,3.93,5.69
14,24,3.47,5.78
15,24,3.43,5.82
16,24,3.79,6.21
17,24,3.68,6.01
18,24,3.84,6.35
19,24,4.21,6.98
20,24,3.76,6.36
1,25,4.53,6.78
2,25,3.94,5.68
3,25,4.38,7.49
4,25,3.64,6.55
5,25,4.31,6.56
6,25,4.29,6.15
7,25,3.44,5.68
8,25,4.24,7.26
9,25,4.55,6.32
10,25,3.91,5.96
11,25,3.29,5.65
12,25,3.83,6.29
13,25,4.33,7.11
14,25,3.93,6.07
15,25,3.38,5.68
16,25,3.63,5.99
17,25,4.06,6.88
18,25,3.67,6.33
19,25,4.19,6.93
20,25,3.36,6.33
